episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,879,random,ns_heavy,51.510714285714286,149.0,48.07666666666667,107,166,-141.79705410460969,280,114,0,4,0,0,300.0,-100.53124994179234,-14.993929159441164,-19.87187500337604,-6.400000000000003,32,10,280,0,d9cb4b363eda9d452fde08e51c6f016f2c03be577505eb70a06b22cc2cf37da0
2,dqn,444,random,heavy,31.304780876494025,101.0,26.191666666666666,58,192,-92.34524232671102,251,59,0,2,0,0,300.0,-69.28125065891072,-4.334824996771929,-12.52916667102837,-6.200000000000003,31,8,251,0,ce33ce1144962693e1a066ec106f97caacb2d22b88aec8cddcb42b2b68d12425
3,dqn,381,random,heavy,46.9530303030303,161.0,51.64833333333333,122,208,-140.4971797385506,330,122,1,3,0,0,300.0,-106.950000571087,-11.293429166825796,-16.253750000637943,-6.000000000000003,30,9,331,1,180f20b176edf6b4ed2f72eabcb3f9b632d7da73643ee40b1e0cdd03582d6801
4,dqn,569,random,ns_heavy,36.950570342205324,168.0,32.39333333333333,66,199,-126.8059794085108,263,64,0,3,0,0,300.0,-94.80000025685877,-7.928270815942235,-17.87770833570977,-6.200000000000003,31,10,263,0,d9ddf450c68fd7bcc1ae2ee7e1b73bf5751435549ce4079fd278f71a88afaae3
5,dqn,831,random,ns_heavy,31.772727272727273,108.0,16.31,43,128,-78.0020175235659,154,26,0,1,0,0,300.0,-57.1312508569099,-2.7176416746420737,-12.15312499201392,-6.000000000000003,30,10,154,0,ab366162b1f82aec54ac7b254dac8a481899b21eb739ec667be82a6efb759fb4
6,dqn,909,random,balanced,31.660804020100503,181.5,21.001666666666665,46,167,-101.47419637040727,199,32,0,2,0,0,300.0,-73.85625053569674,-4.020029174508817,-16.997916660201728,-6.600000000000003,33,8,199,0,caed48faee592b6587c11a396611f88ce90a17e4d2714c565003d0db941a9e99
7,dqn,300,random,balanced,21.377682403433475,116.0,16.60333333333333,44,213,-79.48976741493608,233,20,0,2,0,0,300.0,-58.56875077448785,-2.3495583345407796,-12.971458305907445,-5.600000000000002,28,7,233,0,fdaab5e29aa531c9014ba3c319748171b2dcb96e48497de301d95e570c40fd4b
8,dqn,255,random,ns_heavy,31.59051724137931,141.0,24.43,48,188,-113.36446287023799,232,44,0,1,0,0,300.0,-86.51875037467107,-4.347795833874988,-16.097916661691844,-6.400000000000003,32,9,232,0,d1ac092e55db3fd7cee70059fc6e4c0b9d263761b59fcde7cb1e754fe44ac4ca
9,dqn,531,random,left_heavy,34.9863813229572,132.5,29.971666666666668,67,184,-109.86053389372383,257,73,0,7,0,0,300.0,-83.40000053728,-6.123658340830299,-14.136875015613613,-6.200000000000003,31,8,257,0,f6cdb3cdc26838ba2150ee64357a1965d7b89642e61be3bc70bc3027ec2ad0ed
10,dqn,589,random,ew_heavy,38.87896825396825,134.5,32.65833333333333,72,184,-116.08601321574463,252,68,0,3,0,0,300.0,-87.35625071031973,-6.792470839560699,-16.13729166586418,-5.8000000000000025,29,7,252,0,62d65a166e907d971f6276982d01baf19375edb011e55a71b13b62e13ac09031
11,dqn,253,random,left_heavy,34.74193548387097,102.5,21.541666666666668,48,140,-90.33783820550961,186,46,0,10,0,0,300.0,-63.60625072615221,-4.9413791711216595,-15.390208308235723,-6.400000000000003,32,7,186,0,3f3f35eac04a7eed607a0da3c1a926654efccba14366766d02899e11163e89fa
12,dqn,360,random,low,47.86842105263158,122.5,48.50833333333333,116,192,-146.1452882096107,304,112,0,2,0,0,300.0,-112.99375072214752,-11.179245814371823,-15.172291673091248,-6.800000000000003,34,6,304,0,3ac84310f4670bdb914221cb8d2acef68e94ff1262e4805fd8d9ea613f2081e5
13,dqn,928,random,balanced,29.321596244131456,117.5,20.81833333333333,59,169,-87.22700066462204,213,44,0,2,0,0,300.0,-64.72500065295026,-3.580749994009237,-12.721250017662534,-6.200000000000003,31,11,213,0,e371d07746a4fb9794d37e4ec1dede610eb54e0d2a1c2b07b07ba116767d7a4d
14,dqn,757,random,low,43.28142076502732,126.0,26.401666666666667,76,125,-93.76062581978545,183,58,0,2,0,0,300.0,-68.04375078715384,-5.754375009790967,-14.362500022840683,-5.600000000000002,28,10,183,0,8cd1f25f13e1fc6d3a3ce025176d9c847deb04b728ae1b2a12268ac440fa1b02
15,dqn,855,random,low,40.22260273972603,126.0,39.15,81,227,-146.19598829868838,292,65,0,2,0,0,300.0,-116.4375008023344,-7.435362500037446,-15.723124996316608,-6.600000000000003,33,8,292,0,1a83bafc74b7d8877a04d77ad70fc394799936ba190d468b8fa13e78da4a1a74
16,dqn,544,random,ns_heavy,45.26442307692308,124.0,31.383333333333333,78,158,-110.54598290327348,208,50,0,3,0,0,300.0,-80.16874958574772,-7.19619166171979,-16.7810416558059,-6.400000000000003,32,10,208,0,c797c45293170f28793d3e4c89d5238681875dd643237a5fefb1dc99b2ca1cb9
17,dqn,378,random,left_heavy,47.292307692307695,173.5,20.495,37,93,-84.35576769663533,130,37,18,23,0,0,300.0,-52.23750100750476,-6.979725011047415,-19.13854167808315,-6.000000000000003,30,6,148,18,11f26b6bb5460eb293f925aac53b935dbfacda00c95c2ca333cdfd4c66d5e470
18,dqn,203,random,ns_heavy,37.1198347107438,146.5,14.971666666666666,36,92,-76.8060340618096,121,29,0,1,0,0,300.0,-51.96875073341653,-3.070825002071071,-15.366458326322025,-6.400000000000003,32,8,121,0,de2b586f7a33898c22f2d8e2a23f3d0ad4e3154d85a8b586de1d61e68fb65cab
19,dqn,673,random,low,30.561904761904763,119.0,21.393333333333334,71,176,-89.52218322159096,210,34,0,2,0,0,300.0,-66.92499987734482,-3.496974995721394,-12.900208348524766,-6.200000000000003,31,6,210,0,eef8d318c687b8b56ed2f7a24273306fea342f6393aed40644a9028a1a005c37
20,dqn,517,random,left_heavy,47.03765690376569,152.0,37.473333333333336,80,136,-111.5502965846485,239,103,4,13,0,0,300.0,-79.04375075828284,-10.236129184152373,-15.470416642213234,-6.800000000000003,34,8,243,4,08afa3683e4385608022cb7e3b9497ecd327424c9624aa19a59326727d9d4912
21,dqn,416,random,left_heavy,31.958549222797927,103.5,20.563333333333333,46,137,-88.27589646363845,193,56,5,20,0,0,300.0,-62.168750665616244,-4.930687489712003,-14.576458308310245,-6.600000000000003,33,6,198,5,05eb738634fb18cd6d445e1ee1563b42d90c4cb8de1596522fc512792662513e
22,dqn,243,random,low,43.97859327217125,154.5,47.93833333333333,110,219,-157.266047119098,327,108,0,2,0,0,300.0,-121.13125128904358,-11.450004172237081,-17.48479165781756,-7.200000000000004,36,5,327,0,53c132128a73a63731a804fff55d1d930685c44ef4546fd3030237b4e593c852
23,dqn,508,random,left_heavy,37.05924170616114,129.5,26.065,52,137,-95.26377555301511,211,74,9,11,0,0,300.0,-68.24375054379925,-6.157525005001658,-14.662500004214236,-6.200000000000003,31,8,220,9,f08dda704df6a56edf0b962e2f7716dbc2e80b83707d254e54a5360840b1944d
24,dqn,50,random,heavy,43.18287937743191,138.5,36.99333333333333,71,176,-130.75196745782512,257,81,0,3,0,0,300.0,-96.72500079823658,-9.366549990446222,-18.060416669142434,-6.600000000000003,33,6,257,0,a97da7d4b8b56d8f0c7849f6dbbc2eb6f5db4aa6c780b640fe05eddd9c48f298
25,dqn,57,random,balanced,23.86214953271028,79.0,17.02166666666667,40,183,-74.26495480966766,214,31,0,1,0,0,300.0,-55.99375064112246,-2.237245836560761,-10.033958331984481,-6.000000000000003,30,5,214,0,fcbfa42875180135cbfd0f3b722b05530d758a33c681959b70cf37fa6e9fc12a
26,dqn,113,random,ns_heavy,20.851612903225806,74.0,10.773333333333333,24,144,-56.69882555315489,155,11,0,1,0,0,300.0,-40.387500561308116,-1.2425750017886463,-8.868749990058129,-6.200000000000003,31,10,155,0,bf4caa10621319b5a13ceb1fb946a751a7619841dc636677c5b9ad8917384e50
27,dqn,859,random,balanced,42.15964912280702,139.0,40.05166666666667,92,214,-122.49880984232797,285,71,0,2,0,0,300.0,-91.58125153183937,-8.509224999887373,-16.208333310601294,-6.200000000000003,31,6,285,0,ab3d7081a66f6ae15cff187b09fbe3eee3e1e018cc659850bfa2f8d0301b3fcd
28,dqn,343,random,balanced,15.592233009708737,71.5,5.3533333333333335,17,96,-34.02579630426408,103,7,0,1,0,0,300.0,-20.075000477489084,-0.5512124993540053,-7.399583327420994,-6.000000000000003,30,7,103,0,1b593db1dd080d638178dd85fa7f584adb57dba05c9a93f8075bf791fbe37b64
29,dqn,121,random,ns_heavy,33.50420168067227,107.5,26.58,55,196,-111.6926466754427,238,42,0,2,0,0,300.0,-85.92500084405765,-5.07431249977308,-13.893333331611945,-6.800000000000003,34,9,238,0,f26fa7cfb1c42991097d38025df60a345066782c83fdd5131c0158a8cea4c60e
